died,speedCat,seatbelt,frontal,ageOFocc,occRole,yearVeh,vehicleAge,Airbag,Deploy
alive,>=55,belted,NonFrontalImpact,64,pass,1990,9,NoAirbag,NoAirbagDeployed
alive,10-24,none,FrontalImpact,26,pass,1989,13,NoAirbag,NoAirbagDeployed
alive,10-24,none,FrontalImpact,35,driver,2000,0,Airbag,NoAirbagDeployed
alive,25-39,none,FrontalImpact,38,driver,2001,0,Airbag,AirbagDeployed
alive,10-24,belted,NonFrontalImpact,31,driver,1996,2,Airbag,NoAirbagDeployed
alive,25-39,none,FrontalImpact,47,driver,1987,13,NoAirbag,NoAirbagDeployed
alive,10-24,belted,NonFrontalImpact,48,driver,1984,18,NoAirbag,NoAirbagDeployed
alive,40-54,none,FrontalImpact,53,driver,1988,13,NoAirbag,NoAirbagDeployed
alive,40-54,belted,FrontalImpact,47,driver,1988,12,NoAirbag,NoAirbagDeployed
alive,10-24,belted,FrontalImpact,42,driver,1994,8,NoAirbag,NoAirbagDeployed
alive,10-24,belted,NonFrontalImpact,40,driver,1986,13,NoAirbag,NoAirbagDeployed
alive,10-24,belted,FrontalImpact,19,pass,1992,7,Airbag,NoAirbagDeployed
alive,25-39,none,NonFrontalImpact,18,driver,1993,5,Airbag,NoAirbagDeployed
alive,10-24,belted,FrontalImpact,60,driver,1998,4,Airbag,AirbagDeployed
alive,10-24,belted,FrontalImpact,23,driver,1992,9,Airbag,AirbagDeployed
alive,10-24,none,FrontalImpact,23,driver,1985,12,NoAirbag,NoAirbagDeployed
alive,10-24,belted,FrontalImpact,34,pass,1995,4,Airbag,AirbagDeployed
alive,10-24,none,FrontalImpact,21,driver,1996,4,Airbag,AirbagDeployed
alive,25-39,none,NonFrontalImpact,74,driver,1994,7,Airbag,NoAirbagDeployed
alive,25-39,belted,FrontalImpact,16,driver,1999,2,Airbag,AirbagDeployed
alive,10-24,belted,NonFrontalImpact,47,pass,2002,0,Airbag,NoAirbagDeployed
alive,10-24,belted,FrontalImpact,29,pass,1998,0,Airbag,AirbagDeployed
alive,>=55,belted,FrontalImpact,17,driver,1986,14,NoAirbag,NoAirbagDeployed
alive,10-24,none,FrontalImpact,37,driver,1995,7,Airbag,AirbagDeployed
alive,10-24,belted,FrontalImpact,40,driver,1993,6,NoAirbag,NoAirbagDeployed
alive,>=55,none,FrontalImpact,35,driver,1985,16,NoAirbag,NoAirbagDeployed
alive,>=55,belted,NonFrontalImpact,18,pass,1991,11,NoAirbag,NoAirbagDeployed
alive,25-39,none,FrontalImpact,37,driver,1984,18,NoAirbag,NoAirbagDeployed
alive,>=55,none,FrontalImpact,26,driver,1984,13,NoAirbag,NoAirbagDeployed
alive,25-39,belted,NonFrontalImpact,61,driver,2000,2,Airbag,AirbagDeployed
alive,10-24,belted,FrontalImpact,57,driver,1986,12,NoAirbag,NoAirbagDeployed
alive,10-24,belted,FrontalImpact,71,driver,1986,12,NoAirbag,NoAirbagDeployed
alive,10-24,none,NonFrontalImpact,52,driver,1997,5,Airbag,NoAirbagDeployed
alive,10-24,belted,NonFrontalImpact,48,pass,1995,6,Airbag,NoAirbagDeployed
alive,10-24,belted,FrontalImpact,29,driver,1997,2,Airbag,NoAirbagDeployed
alive,25-39,none,NonFrontalImpact,59,driver,1981,21,NoAirbag,NoAirbagDeployed
alive,10-24,belted,FrontalImpact,77,pass,1988,12,NoAirbag,NoAirbagDeployed
alive,10-24,none,FrontalImpact,18,driver,1988,11,NoAirbag,NoAirbagDeployed
alive,40-54,belted,FrontalImpact,36,driver,1996,5,Airbag,AirbagDeployed
alive,10-24,none,NonFrontalImpact,57,driver,1993,5,Airbag,NoAirbagDeployed
alive,25-39,belted,NonFrontalImpact,45,driver,1986,12,NoAirbag,NoAirbagDeployed
alive,10-24,belted,NonFrontalImpact,93,driver,1982,15,NoAirbag,NoAirbagDeployed
alive,25-39,belted,NonFrontalImpact,23,driver,1999,2,Airbag,AirbagDeployed
alive,10-24,belted,FrontalImpact,64,driver,1997,2,Airbag,AirbagDeployed
alive,40-54,belted,FrontalImpact,18,driver,1998,0,Airbag,AirbagDeployed
alive,25-39,none,NonFrontalImpact,44,driver,1992,5,Airbag,AirbagDeployed
alive,25-39,none,NonFrontalImpact,20,driver,1990,9,NoAirbag,NoAirbagDeployed
alive,40-54,belted,FrontalImpact,79,driver,1995,2,Airbag,AirbagDeployed
alive,10-24,belted,FrontalImpact,51,pass,1992,10,Airbag,NoAirbagDeployed
alive,>=55,none,FrontalImpact,35,driver,1985,15,NoAirbag,NoAirbagDeployed
alive,40-54,belted,FrontalImpact,18,pass,1998,1,Airbag,AirbagDeployed
alive,>=55,none,FrontalImpact,53,driver,1998,1,Airbag,AirbagDeployed
dead,10-24,none,FrontalImpact,63,pass,1990,7,NoAirbag,NoAirbagDeployed
alive,10-24,belted,NonFrontalImpact,19,driver,1997,1,Airbag,NoAirbagDeployed
alive,25-39,belted,FrontalImpact,16,driver,1984,18,NoAirbag,NoAirbagDeployed
