DyadID DyadIndID IndividualID IndPerformance IndRelQuality IndMotivation IndCohesion PartnerPerformance PartnerRelQuality PartnerMotivation PartnerCohesion DyadPerformance DyadRelQuality DyadMotivation DyadCohesion
1000 A 20 4.5 4.6 17 4.7 4.4 4.5 11.7 3.6 4.45 4.55 14.35 4.15
1000 B 25 4.4 4.5 11.7 3.6 4.5 4.6 17 4.7 4.45 4.55 14.35 4.15
1001 A 121 3.3 3.4 18 2.9 2 3.3 20.2 4.1 2.65 3.35 19.1 3.5
1001 B 181 2 3.3 20.2 4.1 3.3 3.4 18 2.9 2.65 3.35 19.1 3.5
1002 A 255 2.1 4.8 8.5 3.6 3 3.1 10.9 3.1 2.55 3.95 9.7 3.35
1002 B 210 3 3.1 10.9 3.1 2.1 4.8 8.5 3.6 2.55 3.95 9.7 3.35
1004 A 436 2.8 4.4 8.1 4 4.7 3.5 22.6 5.5 3.75 3.95 15.35 4.75
1004 B 454 4.7 3.5 22.6 5.5 2.8 4.4 8.1 4 3.75 3.95 15.35 4.75
1005 A 570 3.4 4.6 15.9 4.8 5.7 6.1 14.6 4.6 4.55 5.35 15.25 4.7
1005 B 503 5.7 6.1 14.6 4.6 3.4 4.6 15.9 4.8 4.55 5.35 15.25 4.7
1006 A 610 2.9 2.9 8.7 4.4 4.5 3 22.6 5.2 3.7 2.95 15.65 4.8
1006 B 678 4.5 3 22.6 5.2 2.9 2.9 8.7 4.4 3.7 2.95 15.65 4.8
1007 A 722 3.9 3.7 21.5 3.2 3.9 5.8 21 5.4 3.9 4.75 21.25 4.3
1007 B 753 3.9 5.8 21 5.4 3.9 3.7 21.5 3.2 3.9 4.75 21.25 4.3
1009 A 920 1.7 3.6 8.4 3.5 2.3 3.8 9.4 3.4 2 3.7 8.9 3.45
1009 B 925 2.3 3.8 9.4 3.4 1.7 3.6 8.4 3.5 2 3.7 8.9 3.45
1010 A 1057 5.2 2.9 13.8 4.4 5.4 4.4 21.9 4.7 5.3 3.65 17.85 4.55
1010 B 1086 5.4 4.4 21.9 4.7 5.2 2.9 13.8 4.4 5.3 3.65 17.85 4.55
1011 A 1193 3.3 3.4 7.3 2.9 4.5 3.5 23.1 4.3 3.9 3.45 15.2 3.6
1011 B 1109 4.5 3.5 23.1 4.3 3.3 3.4 7.3 2.9 3.9 3.45 15.2 3.6
1012 A 1285 3.6 4 15 3.9 2.7 4.2 18.2 4.9 3.15 4.1 16.6 4.4
1012 B 1276 2.7 4.2 18.2 4.9 3.6 4 15 3.9 3.15 4.1 16.6 4.4
1013 A 1363 3.8 4.8 16 4 3.7 4.6 19.4 5.2 3.75 4.7 17.7 4.6
1013 B 1324 3.7 4.6 19.4 5.2 3.8 4.8 16 4 3.75 4.7 17.7 4.6
1014 A 1427 4.7 4 17.5 4.9 5.5 5.8 14.1 4.4 5.1 4.9 15.8 4.65
1014 B 1402 5.5 5.8 14.1 4.4 4.7 4 17.5 4.9 5.1 4.9 15.8 4.65
1016 A 1653 3.1 3.7 22.1 4.3 5.9 4.9 20.5 4.7 4.5 4.3 21.3 4.5
1016 B 1688 5.9 4.9 20.5 4.7 3.1 3.7 22.1 4.3 4.5 4.3 21.3 4.5
1017 A 1794 4.3 4.1 21.2 4.3 5.6 3.4 20.9 6.4 4.95 3.75 21.05 5.35
1017 B 1703 5.6 3.4 20.9 6.4 4.3 4.1 21.2 4.3 4.95 3.75 21.05 5.35
1018 A 1822 0.9 3.2 8.3 2.6 2.3 4.3 9.8 4 1.6 3.75 9.05 3.3
1018 B 1895 2.3 4.3 9.8 4 0.9 3.2 8.3 2.6 1.6 3.75 9.05 3.3
1019 A 1960 4.3 4.8 18.7 4.3 4.6 4.8 18.1 5.7 4.45 4.8 18.4 5
1019 B 1912 4.6 4.8 18.1 5.7 4.3 4.8 18.7 4.3 4.45 4.8 18.4 5
1020 A 2090 4.2 4.1 21.5 3.1 3.2 4.4 20.1 4.5 3.7 4.25 20.8 3.8
